熱點類別,熱點名稱,熱點分類,建置年度,行政區,行政里,地址,熱點緯度(Latitude),熱點經度(Longitude)
tainan熱點,新營區民榮社區關懷據點,社區發展,103,新營區,民榮里,730臺南市新營區南昌街135號,23.2998499,120.3122573
tainan熱點,新營區南紙社區關懷據點,社區發展,103,新營區,南紙里,730臺南市新營區太子路200巷81號旁(南紙社區活動中心),23.303149,120.2946915
tainan熱點,楠西區龜丹社區關懷據點,社區發展,103,楠西區,龜丹里,715臺南市楠西區龜丹里龜丹42號,23.134595,120.49599
tainan熱點,學甲區新榮社區關懷據點,社區發展,103,學甲區,新榮里,726臺南市學甲區新榮里63號,23.225661,120.185549
tainan熱點,龍崎區龍興社區關懷據點,社區發展,103,龍崎區,牛埔里,719臺南市龍崎區牛埔里21號,22.9285606,120.409835
tainan熱點,歸仁區崙頂里關懷據點,社區發展,103,歸仁區,崙頂里,711臺南市歸仁區崙頂里崙頂街38號,22.9585049,120.2966019
tainan熱點,關廟區東勢社區關懷據點,社區發展,103,關廟區,東勢里,718臺南市關廟區東勢里旺萊路139巷12號,22.9538511,120.334588
tainan熱點,鹽水區大莊社區關懷據點,社區發展,103,鹽水區,大莊里,737臺南市鹽水區大莊里5-1號,23.3154466,120.2498238
tainan熱點,鹽水區歡雅社區關懷據點,社區發展,103,鹽水區,歡雅里,737臺南市鹽水區歡雅里90號,23.2891373,120.2420657
tainan熱點,中西區海安路地下停車場01號行人出入口,熱門商圈,103,中西區,民權里,700臺南市中西區海安路二段與民族路口,22.998204,120.197644
tainan熱點,中西區海安路地下停車場08號行人出入口,熱門商圈,103,中西區,水仙里,700臺南市中西區海安路二段與民權路口,22.996818,120.197283
tainan熱點,中西區海安路地下停車場15號行人出入口,熱門商圈,103,中西區,民權里,700臺南市中西區海安路二段與民生路口,22.995503,120.196505
tainan熱點,中西區海安路地下停車場20號行人出入口,熱門商圈,103,中西區,中正里,700臺南市中西區海安路二段與正興街口,22.994291,120.196262
tainan熱點,中西區海安路地下停車場27號行人出入口,熱門商圈,103,中西區,保安里,700臺南市中西區海安路二段與友愛街口,22.992679,120.195747
tainan熱點,中西區海安路地下停車場30號行人出入口,熱門商圈,103,中西區,民主里,700臺南市中西區海安路二段與尊王路口,22.991828,120.195633
tainan熱點,中西區海安路地下停車場31號行人出入口,熱門商圈,103,中西區,民主里,700臺南市中西區海安路二段與府前路口,22.991161,120.195487
tainan熱點,臺南孔廟,觀光景點,102,中西區,永華里,700臺南市中西區永華里南門路2號,22.990271,120.20439
tainan熱點,臺南公園,觀光景點,103,北區,公園里,704臺南市北區公園里公園路356號,23.0030787,120.210312
tainan熱點,安平古堡,觀光景點,99,安平區,海頭里,708臺南市安平區海頭里國勝路82號,23.001525,120.160613
tainan熱點,安平樹屋,觀光景點,99,安平區,西門里,708臺南市安平區西門里安北路194號,23.003381,120.159813
tainan熱點,赤崁樓,觀光景點,99,中西區,赤崁里,700臺南市中西區赤崁里民族路212號,22.997218,120.2024239
tainan熱點,佳里區中山公園,觀光景點,102,佳里區,六安里,722臺南市佳里區六安里延平路與安北路口,23.168788,120.178181
tainan熱點,延平郡王祠,觀光景點,99,中西區,開山里,700臺南市中西區開山里開山路125號,22.988707,120.208071
tainan熱點,東興洋行,觀光景點,99,安平區,西門里,708臺南市安平區西門里安北路233巷3號,23.0017826,120.1589746
tainan熱點,虎頭埤風景管理所,觀光景點,99,新化區,東榮里,712臺南市新化區東榮里中興路42巷36號,23.026494,120.33694
tainan熱點,南瀛綠都心,觀光景點,99,新營區,民權里,730臺南市新營區民權里中正路23號,23.30937,120.315099
tainan熱點,烏腳病紀念園區旅服中心,觀光景點,102,北門區,永隆里,727臺南市北門區永隆里27號,23.269572,120.123759
tainan熱點,梅嶺資訊站,觀光景點,100,楠西區,彎丘里,715臺南市楠西區彎丘里梅嶺3-10號,23.1859399,120.534551
tainan熱點,菜寮化石館,觀光景點,99,左鎮區,榮和里,713臺南市左鎮區榮和里61-1號,23.0716338,120.3925467
tainan熱點,黑面琵鷺賞鳥區,觀光景點,99,七股區,十份里,724臺南市七股區十份里海埔69號,23.0809776,120.0824535
tainan熱點,運河司令臺,觀光景點,99,安平區,怡平里,708臺南市安平區怡平里建平十七街406號,22.997428,120.1774432
tainan熱點,運河博物館,觀光景點,100,安平區,港仔里,708臺南市安平區港仔里安平路97-15號,22.9985267,120.1639199
